,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
564290,2.8,0.6,188.6,595.8,1356,746,98.75,390.6,0.7
4454068,0,0,0,1.8,2,2.4,0,0.2,0
1110763,0,0.8,0.6,0.2,1.8,0.4,0,0.4,0
1726426,0,0,0,0.4,1.4,0.8,0.25,0.6,0
4385479,0,0,0,5,0,0,0,2.2,0
768553,0,0,0,114.8,0,0,0,45,0
1116679,0,0,0,0,0,0,0,0,0
610462,0.2,0,0,0,0,0,0,0,0
3232397,0.6,0,0.8,15.6,0.2,0,0,0,0.3
525841,0.2,1.8,40.2,390.4,6.4,3.8,1,0.4,17.2
4309033,0,0,0,0.4,0,0,0.25,0,0
549232,0,0,0,0.4,0.6,0.6,0,0.4,0
4368600,2.4,0.8,0.8,0.6,1,1,0,0,0.5
4328189,0,0,0,0,0,0,0,0,0
563359,15.4,0,1.6,0,0,0,0,0,0
9939,4.6,0,0,0,0,0,0,0,0
922761,119.6,0.2,2.4,1.8,0,0,0,0.2,0.5
223368,0,0,0,0,0,0.2,0.25,0.6,0
366451,0,0,0,0,0,0.6,0,0,0
544824,0,0,0,0.6,0.2,0,0,0,0
4384058,4.2,6.4,0,0,0.2,0,0,2.8,0
331697,0.2,0.4,0.8,74,109.6,24.6,96.75,0.6,0.5
4449851,0,0,0,1.6,6.6,1.8,3,0,0
528421,0.4,0,0,0.2,8.6,0.2,0,0,0
91962,0,0,0,4.8,3.2,0.6,9.75,0,0
235024,0,0,0,1.4,0,0,0,0,0
4327628,0,0.6,0.4,0.4,0.2,0,0,0,0.4
4439606,0.6,1.6,0.8,4.4,0,1.6,95,2.6,1.5
537290,0,0.2,0.4,1,0,0.2,1.25,0,0
85614,0,0,0,2.8,0,0,23.25,0,0
222706,0,0,0,0,0,0,0,0,0
1121651,0,0,0,0,0.2,0,0,0,0
836291,0,0,0,0,0,0,0,0,0
423025,0,0.4,0,0,1.4,0,0,0,0
4445692,0,0,0,0,0,0,0,0,0
691423,92.4,3,4.6,27.2,11,13.6,22.25,2.2,2.8
299267,0,0,0,0,0,5.2,0,1.6,0
345362,0,0,0,1.2,0.2,16.2,0,5.8,0
124309,0.8,0.2,12.2,81,25.4,19.8,5.75,2.6,14.1
329096,0.4,0,0,1.2,0.2,0.4,0,0,0.7
4416113,1,1,157.8,476.4,165.2,78.6,48.5,19.4,1000.3
35840,0,7.6,90.4,0,0.2,0.4,0,3.6,849.4
560243,0,0,0,0,0,0,0,0,3.5
2912622,0.2,0.4,0,0.4,0,0,0,0,0
1137914,0,0,0,0,0,0,0,0,0
4405546,0,0,0,0,0,0,0,0,0
6372,0,0,0,0,0,0,0,0,0
2228269,0,0,0,0,0,0,0,0,0
4326874,0,0,0,0,0,0,0,0,0
1117593,0,0,0,0,0,0,2,0,0
4450877,0,0,0,0,0,0,0,0,0
341259,0,0.4,1.4,0,1,0.4,0,2.4,0.3
4318690,0.4,1,0,0,1.6,0.6,0.5,1,1.2
569952,0,74.2,7.6,5.8,31.8,40.8,11.5,79,60
974797,0,0,0.8,0.2,0,0,0,0,0
1141377,0,0,0,0,0.2,0,0,0,0
3951713,0,0,0,0,0.2,0,0,0.2,0
106252,9.2,0,0.4,1.2,0,0.4,0,0,0
3581985,35.2,0,0,0,0,0,0,0,0
1120966,0,0,0.2,67.8,0,343.8,29.5,0,0.1
562400,0,1.2,5.2,0.2,0.2,3.6,1.75,1,0.3
644798,0,318,4.8,0.2,22.2,8.2,0,210.4,19.8
3167757,0,0.4,0,0,0.4,0,0,1.2,0.4
107523,0,1.8,0,0,0.6,0.2,0,2,0.6
2792168,0,0,0,0,0,0,0,0.2,1.1
610486,0,0,0,0,0,0,0,0,0
611360,0,0,0,0,0,0.8,0,0,5.8
745122,0,0,0,0,15.6,5.8,0.5,2.4,0.1
647775,0,0,2.8,5.2,108.4,40.4,30,48.8,3.2
1145138,0,0,6.6,1,331.2,280.4,24,76,0.7
261198,0,0,0,0,3,15.6,0,2,0
4305160,0,1.8,0,0.4,0.6,1.6,0.5,4.8,1.9
4396454,0,0,0,0,0,0.2,0.25,0.8,0.1
2685602,0.2,1062,44.8,165.4,228.6,414,364.5,248,300.7
128347,0,1.4,0,0.2,0.2,0.2,1,0.2,0.6
4328567,0,3.4,0,0.6,0.4,0,1.5,1.8,1.6
358068,0,4.4,2.2,1,9.2,8.6,8.5,99.6,9.8
4315164,0,0,0,0,0,0,0,0,0.2
4312335,0,0.6,6.2,0.8,23.6,3.2,14.25,6.8,1.8
783687,0,0.2,0.4,0,4.8,0.4,4.25,17,3.5
342283,0,0,0,0,0,0,0,2.4,0
589483,0,8.4,0.6,0,0.8,0.8,0,0.4,0.1
4418260,0,0,0.2,0,0,2.4,0,12.8,1
783719,0,0,0,0,0.2,0.6,0.5,0.4,0.2
7061,0,0,0,0.4,0,0,1.25,0,0
463546,0.2,0.8,1.6,0.6,0.4,17,5.25,0.4,0.2
4453998,0,0,2,2.4,0.2,5.2,1.5,0.2,1
4452118,0,0,1,0.4,0.2,0.2,0,0.2,0
4303858,0,0,0.4,0,0,1,0.75,0,0
320222,6.4,4.4,64.4,83.6,9,176.2,50.25,7.6,46
1143820,0,0,0,0,0.2,0.2,0,1,0
576785,0,2.4,4.2,0.2,8,6.8,2.25,21,8.5
4438613,0,1.2,0.2,0,41.2,14.2,1,5,0.1
791738,0,0.4,0,0,0.4,1.4,0.5,1.8,0.1
1048878,0,6.6,2.2,0,0,0,0,0,0.2
4472112,0,0,0,0,1.2,0,0,0,0
29704,0.6,2132.2,107.6,29.6,100.2,64.8,6.25,17.6,32.3
4424705,0,0,0,0,1.6,0.4,0.5,1,0.2
322506,0,12.6,67.4,10.2,43,11,15.25,12,6.1
340208,0,4.6,18,1.2,4.4,2.6,1.25,3.2,2.2
1127804,0,0.6,0.6,0.8,2,1.6,0.75,1.2,0.6
819037,0.4,11.8,3.6,1.8,2.2,3.4,1.75,2.4,0.9
328095,0,0.4,5.2,0.4,2.4,24.2,0.25,8.6,1.2
317487,0,1.4,22.8,4,20,191.8,0,149.4,8.8
4388545,0,0.2,1.2,0,0.8,7.6,0,9.4,0.2
4381109,0,0,0.2,0,0,1.4,0,2.2,0.2
211171,10.6,2,5.6,1,11.6,3.4,14,25.6,3.1
142376,0,0.6,0,0,0.6,0.4,0.25,6.2,0
329664,0.2,3.4,4.8,1.2,39.6,2.8,7.25,73,1.3
798634,0,0,0.8,0.2,1.8,0,0,0,0.7
1145162,0,0.2,0,0,0,0.2,0,0.2,0
4395995,0,5.6,0.6,0,1,0.6,0,1,1.6
334067,0,0,0,0,0,0.2,0,0,0
