OTU,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_99,avg_166,avg_365
564290,2.2,108.6,1019.5,61.4,646,183.8,101.3333333,76.8,12,28.66666667,0.2
4454068,0,0,0,0,0.2,0.2,0,0,0,0,0
1110763,0.6,0,0.5,0,0.2,0,0.333333333,0.4,0,0,0
1726426,0,0.4,0.25,0,1.2,0,0,0,0,0,0
4385479,0,0,0,1,4,26.2,0,0,0,0,0
768553,0,0,0,18.4,124.8,923.6,0.333333333,0,0,1.666666667,0
1116679,0,0,0,24.4,0,0,0,0,0,0,0
610462,0.6,0,0,560.2,0,0,0,0.2,0,0,0
3232397,0,0,0.25,0.2,0,0.4,0,0.6,0,0,0
525841,58,0.8,8,36.8,38.8,240,1,68.4,0.6,2.666666667,0.8
4309033,3,0,100.75,13,2.8,16.4,0,22.8,5.6,0,0
549232,0.4,0,0.25,0,0.2,1.4,0,0,0.6,0,0
4368600,2.4,0.8,0.75,2,0,0.2,0,0,0.6,0,0.6
4328189,0.6,0.4,2.75,0.4,1,1.4,0,0,0.4,0,0
563359,0,0,0,0,0,0,0,0,0,0,0
9939,0,0,0,0,0,0.4,0,0,0,0,0
922761,0,0,0,0,0.6,0.8,0,0,0,0,0
223368,0,1.8,0,0,0,0.2,3,0,0,0,0
366451,5.4,0,0.5,0.4,0,0,0,0.2,0.2,0,0
544824,6,0.2,0,0.6,0,0.2,0,0.8,0.2,0,0
4384058,2552.4,283.4,166.5,119.8,100.4,67.2,13,40.4,26.6,3.333333333,0.4
331697,547,5.4,8,108.8,35.6,132,16.66666667,12.6,2.2,0,0
4449851,15.4,0,0.25,3.8,1.6,3,0,0.2,0.4,0,0
528421,3.2,0,0,7.2,0,0,0,13.4,0,0,0
91962,9.2,0,0,9.4,4.8,9.4,0.333333333,0,0,0,0
235024,0.8,0,0,3.8,1.2,1.4,0,0.2,0,0,0
4327628,0,0,0,1.2,0,0.2,0,0,0,0,0
4439606,1.6,47.8,0.75,287.8,2.4,2,4,5,1.6,18.33333333,2.4
