species,abundance_bci1,abundance_bci2,abundance_bci3,abundance_bci4,abundance_bci5,abundance_bci6,abundance_bci7
acacme,2,1,2,3,2,2,2
acaldi,2,3,2,2,2,1,2
acalma,2,0,2,1,2,2,2
ade1tr,113,112,103,91,79,70,64
aegipa,22,21,23,23,21,17,14
alchco,159,158,157,155,145,146,134
alchla,2,2,2,1,1,1,1
alibed,2,1,3,1,0,0,0
allops,29,32,27,26,22,28,32
alsebl,825,844,923,975,1005,1036,1059
amaico,2,2,3,2,2,2,2
anacex,23,23,22,22,22,21,21
andiin,37,34,30,26,27,31,31
annosp,18,17,22,27,23,17,9
apeihy,1,1,0,0,0,0,0
apeime,237,225,236,235,222,204,197
apeiti,25,23,21,21,20,16,18
ardife,1,1,0,0,0,0,0
aspicr,46,50,52,51,56,56,60
ast1st,230,224,216,200,183,160,147
ast2gr,39,39,39,42,39,38,38
beilpe,300,300,293,291,277,269,249
brosal,181,177,179,183,189,197,195
brosgu,1,1,1,1,0,0,0
calolo,54,53,59,54,49,44,49
caseac,23,26,22,23,19,13,13
casear,153,130,120,103,92,77,59
caseco,2,3,3,3,2,3,3
casesy,73,68,57,55,51,43,38
cassel,64,68,76,84,84,94,110
cavapl,21,21,22,19,19,18,18
cecrin,276,245,256,263,280,337,363
cecrob,38,24,21,25,36,90,121
cedrod,2,2,2,2,2,2,4
ceibpe,42,41,38,39,37,41,40
celtsc,40,38,32,36,38,42,48
cespma,3,2,2,2,1,1,1
cha2sc,1,1,2,3,6,6,8
chr1ec,2,4,3,2,3,3,1
chr2ar,77,85,86,85,84,75,71
chr2ca,19,22,23,22,22,22,21
coccco,21,20,20,22,22,21,16
coccma,8,8,11,12,13,12,10
colugl,2,1,1,1,2,1,1
cordal,60,58,60,63,57,57,60
cordbi,251,257,283,322,327,321,327
cordla,404,436,428,353,289,243,212
cou2cu,38,43,53,52,62,61,66
crotbi,66,65,71,95,78,48,49
cupaci,1,1,1,1,0,0,0
cupala,8,9,10,12,11,13,10
cuparu,5,6,6,4,2,2,4
cupasy,28,27,36,43,47,50,50
dendar,105,102,93,87,77,68,61
des2pa,13,13,11,12,13,11,12
dio2ar,9,12,14,16,17,17,17
diptpa,33,33,34,33,33,33,32
drypst,189,224,259,282,297,310,316
elaeol,19,20,21,21,22,21,20
entesc,2,2,2,2,3,4,3
ery1co,45,47,30,27,26,18,12
ery2ma,16,19,15,17,15,13,10
eugeco,75,75,84,80,86,82,83
eugega,20,23,16,12,16,17,13
eugene,49,49,52,54,54,51,48
eugeoe,130,137,156,172,183,182,159
faraoc,1147,1337,1574,1644,1752,1826,1950
ficubu,1,1,1,0,0,0,0
ficuc1,1,1,1,1,1,0,0
ficuc2,7,6,6,6,6,5,5
ficuin,3,3,3,3,2,1,2
ficuma,4,5,2,3,4,4,5
ficuob,10,8,8,8,7,7,6
ficupo,6,6,5,3,4,2,2
ficuto,41,37,30,22,19,14,14
ficutr,6,4,5,5,5,4,4
ficuyo,6,6,6,6,5,5,5
gar2in,76,70,82,88,105,124,137
gar2ma,20,24,22,9,8,8,12
geniam,19,20,21,22,20,20,19
guapst,88,90,99,97,97,99,94
guargr,10,10,10,9,9,9,10
guargu,366,354,370,374,367,358,352
